created_date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,extract_date,Latitude,Longitude,Rua,Bairro
2018-03-28,1599000.0,111,2,4,2,2024-11-25,-23.568068507692303,-46.62838157692308,Rua Almeida Torres 148,Aclimação
2018-03-27,2200000.0,180,2,4,3,2024-11-25,-23.53593546619565,-46.668749778173,Rua Monte Alegre 634,Perdizes
2021-02-08,2500000.0,144,2,5,3,2024-11-25,-23.61484685,-46.67356030846452,Rua Morais de Barros 960,Campo Belo
2018-03-27,6300000.0,215,2,4,3,2024-11-25,-23.57068436916,-46.65505561012951,Rua José Maria Lisboa,Jardim Paulista
2022-12-13,1280000.0,167,2,4,3,2024-11-25,-23.625687,-46.7269894,Não Informado,Vila Andrade
2018-03-27,1380000.0,126,2,4,3,2024-11-25,-23.599884407391052,-46.619305864115525,Rua Visconde de Guaratiba 360,Vila Firmiano Pinto
2023-05-30,1200000.0,167,2,4,3,2024-11-25,-23.63398350242242,-46.7307212925704,Rua Almansa,Vila Andrade
2019-02-13,3490000.0,180,2,4,4,2024-11-25,-23.55670089031135,-46.56718792679954,Rua Eunice Weaver 109,Jardim Anália Franco
2024-10-17,9800000.0,274,2,4,4,2024-11-25,-23.618743991877132,-46.68137648440344,Rua Gabriele D'Annunzio,Campo Belo
2021-02-08,6900000.0,370,2,5,5,2024-11-25,-23.62509795,-46.67639915,Rua Conde de Porto Alegre 1033,Campo Belo
2018-03-27,1269380.0,285,2,4,4,2024-11-25,-23.58156735726488,-46.687273261823066,Rua Doutor Mário Ferraz 457,Jardim Europa
2022-12-13,1350000.0,450,2,5,4,2024-11-25,-22.5672753,-47.4132936,Não Informado,Real Parque
2018-03-28,600000.0,120,2,5,4,2024-11-25,-23.55790165,-46.560556178636105,Rua Antônio Daminello 650,Jardim Anália Franco
2018-06-08,1190000.0,200,2,5,4,2024-11-25,-23.6074637,-46.6689221,Não Informado,Indianópolis
2022-03-17,500000.0,96,3,1,1,2024-11-25,-23.598827550000003,-46.66293525,Rua Gaivota 183,Moema
2024-11-19,420000.0,73,3,1,1,2024-11-25,-23.60585865,-46.66771569826148,Alameda Jauaperi 1083,Moema
2022-07-27,340000.0,72,3,1,1,2024-11-25,-23.5753574,-46.6138812,Rua Dom Mateus 114,Vila Monumento
2018-03-27,286000.0,62,3,1,1,2024-11-25,-23.48127106364479,-46.74178914611442,Rua Luís Cunha 386,Vila Pirituba
2018-03-27,1602317.3015935991,68,3,1,1,2024-11-25,-23.53873249691977,-46.44696960067412,Rua Professor Brito Machado 500,Itaquera
2019-02-13,1700000.0,87,3,1,2,2024-11-25,-23.58077537725328,-46.59043518962038,Rua Chamantá 236,Vila Prudente
2018-03-27,1180000.0,166,3,1,2,2024-11-25,-23.633089861163725,-46.69070998428428,Rua São Benedito 873,Santo Amaro
2024-08-30,1650000.0,230,3,1,3,2024-11-25,-23.5137228,-46.62600613655272,Rua Voluntários da Pátria,Santana
2021-03-09,2499000.0,67,3,1,3,2024-11-25,-23.5823453,-46.58147905225461,Rua Fidélis Papini 100,Vila Prudente
2018-03-27,1400000.0,81,3,1,3,2024-11-25,-23.49055460862165,-46.64633630590326,Rua Artur,Imirim
2018-03-27,1602317.3015935991,81,3,1,3,2024-11-25,-23.49055460862165,-46.64633630590326,Rua Artur 575,Imirim
2022-03-17,3800000.0,215,3,1,4,2024-11-25,-23.54642655,-46.68721750962963,Rua Paracuê 162,Sumaré
2023-08-16,7000000.0,216,3,1,4,2024-11-25,-23.58797578770983,-46.68383732798657,Avenida Horácio Lafer 473,Itaim Bibi
2022-03-17,2950000.0,192,3,1,4,2024-11-25,-23.618743991877132,-46.68137648440344,Rua Gabriele D'Annunzio 183,Campo Belo
2018-03-27,3800000.0,240,3,1,4,2024-11-25,-23.623279040993022,-46.67382946935149,Rua Edson,Campo Belo
2018-03-27,1085000.0,211,3,1,4,2024-11-25,-7.87959695,-38.04814950098677,565,Canaã
2018-04-19,700000.0,87,3,2,1,2024-11-25,-23.599884407391052,-46.619305864115525,Rua Visconde de Guaratiba 353,Vila Firmiano Pinto
2021-03-24,375600.0,97,3,2,1,2024-11-25,-23.532876590092837,-46.67342274375568,Rua Pinto Gonçalves 5631,Perdizes
