Created_Date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,Latitude,Longitude,Neighborhood
2018,1710000.0,107,4,4,1,-23.561330475305027,-46.68370580914799,Pinheiros
2019,1298000.0,94,4,4,1,-23.5322216,-46.65317374290976,Santa Cecília
2018,851920.0,170,4,4,1,-23.54012575,-46.65574408814273,Santa Cecília
2018,1990000.0,158,4,4,2,-23.60521573428139,-46.668160589306886,Indianópolis
2018,1950000.0,210,4,4,2,-23.54036255,-46.6573514443058,Santa Cecília
2018,1999000.0,125,4,4,2,-23.58481799798713,-46.640704125394514,Vila Mariana
2020,1170000.0,127,4,4,2,-23.627159274502805,-46.73716991285413,Vila Andrade
2020,1299000.0,128,4,5,2,-23.633490797574343,-46.73971827062283,Vila Andrade
2018,3290000.0,132,4,4,2,-23.58749,-46.581870418107,Parque da Vila Prudente
2018,2850000.0,190,4,5,3,-23.66410432969318,-46.67859139903118,Jardim Marajoara
2018,2349420.0,180,4,4,3,-23.565498218859517,-46.65942145878832,Jardim Paulista
2018,1699000.0,162,4,5,3,-23.53072805,-46.72554964652437,Vila Leopoldina
2022,2920000.0,284,4,4,3,-23.57200532378379,-46.64866109358715,Paraíso
2018,2650000.0,213,4,5,4,-23.6123397,-46.658025770295296,Indianópolis
2021,11853197.0,359,5,6,4,-23.601787158747022,-46.65664561847216,Indianópolis
2018,6950000.0,362,4,5,4,-23.533185409099204,-46.6605191104886,Santa Cecília
2018,23300000.0,479,4,8,5,-23.598317584906823,-46.6681246158152,Indianópolis
2019,890000.0,254,4,4,4,-23.636001915256507,-46.73780430432569,Vila Andrade
2021,2500000.0,188,4,4,4,-23.6011796,-46.65865032758368,Indianópolis
2018,1536900.0,205,4,5,4,-23.49274533051241,-46.62818615342944,Santana
2018,503400.0,25,1,1,1,-23.60191486103068,-46.66363448502543,Indianópolis
2018,1020000.0,45,1,1,1,-23.601787158747022,-46.65664561847216,Indianópolis
2018,1200000.0,74,1,1,1,-23.633089861163725,-46.69070998428428,Santo Amaro
2019,580000.0,58,1,1,1,-23.56373025,-46.66219382595479,Cerqueira César
2018,413400.0,37,1,1,1,-23.569197248352523,-46.65046185380363,Jardim Paulista
2023,580888.0,35,1,1,1,-23.622231353646125,-46.66995399444336,Campo Belo
2018,990000.0,40,1,1,1,-23.56479675,-46.65968758767545,Jardim Paulista
2020,600000.0,45,1,1,1,-23.562614250000003,-46.66021438706716,Cerqueira César
2018,790000.0,48,1,1,1,-23.5943901,-46.6822487,Itaim Bibi
2018,535000.0,37,1,1,1,-23.5591685,-46.662102412078696,Jardim Paulista
